EXE.FR,Exel Industries SA CFD,EUR,50,0,0.30%,0.50%,09:00 - 17:30,Mon - Fri,Stock
EYPT.US,EyePoint Pharmaceuticals Inc,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
FCT.IT,Fincantieri SpA CFD,EUR,0,0,0.30%,0.50%,09:00 - 17:30,Mon - Fri,Stock
FICO.US,Fair Isaac Corp,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
FISV.US,Fiserv Inc CFD,USD,50.0,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
FLO.US,Flowers Foods Inc,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
FMC.US,FMC Corp,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
FTEK.US,Fuel Tech Inc,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
FUBO.US,Fubotv Inc,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
FVRR.US,Fiverr International Ltd (Cboe BZX Real-Time Quote),USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
FXPO.UK,Ferrexpo PLC,GBP,100,0,0.30%,0.50%,09:00 - 17:30,Mon - Fri,Stock
GBT.FR,Guerbet SA CFD,EUR,50,0,0.30%,0.50%,09:00 - 17:30,Mon - Fri,Stock
GTM.US,Zoominfo Technologies Inc CFD,USD,50.0,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
HAIN.US,Hain Celestial Group Inc,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
HEM.SE,Hemnet Group AB CFD,SEK,1000.0,0,0.30%,0.50%,09:00 - 17:25,Mon - Fri,Stock
HIMS.US,Hims & Hers Health Inc CFD,USD,50.0,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
HRTX.US,Heron Therapeutics Inc,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
HUBS.US,HubSpot Inc,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
HUYA.US,HUYA Inc - ADR,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
IMSR.US,Terrestrial Energy Inc - class A CFD,USD,50.0,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
INSP.US,Inspire Medical Systems Inc,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
INTRUM.SE,Intrum AB,SEK,1000,0,0.30%,0.50%,09:00 - 17:25,Mon - Fri,Stock
INTU.US,Intuit Inc,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
JKS.US,JinkoSolar Holding Co Ltd - ADR,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
JMIA.US,Jumia Technologies AG - ADR,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
KD.US,Kyndryl Holdings Inc,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
KTOS.US,Kratos Defense and Security Solutions Inc,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
LASR.US,nLIGHT Inc,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
LCID.US,Lucid Group Inc,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
LI.US,Li Auto Inc. - ADR,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
LINC.US,Lincoln Educational Services Corp,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
LTBR.US,Lightbridge Corp CFD,USD,50.0,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
LULU.US,Lululemon Athletica Inc,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
MARA.US,Marathon Digital Holdings Inc,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
MDM.FR,Maisons du Monde SA,EUR,50,0,0.30%,0.50%,09:00 - 17:30,Mon - Fri,Stock
MMTX.CH,MindMaze Therapeutics Holding SA CFD,CHF,150.0,0,0.30%,0.50%,09:00 - 17:20,Mon - Fri,Stock
MNDY.US,Monday.Com Ltd,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
MXL.US,Maxlinear Inc,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
MYGN.US,Myriad Genetics Inc,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
NACON.FR,Nacon SAS CFD,EUR,50,0,0.30%,0.50%,09:00 - 17:30,Mon - Fri,Stock
NFE.US,New Fortress Energy Inc - class A,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
NIO.US,NIO Inc - class A,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
NNOX.US,Nano-X Imaging Ltd,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
NTLA.US,Intellia Therapeutics Inc CFD,USD,50.0,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
NVTS.US,Navitas Semiconductor Corp CFD (Cboe BZX Real-Time Quote),USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
OKLO.US,Oklo Inc CFD,USD,50.0,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
OPEN.US,Opendoor Technologies Inc - class A,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
ORCL.US,Oracle Corp,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
OSG.US,Octave Specialty Group Inc CFD,USD,50.0,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
PFSI.US,PennyMac Financial Services Inc,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
PLNT.US,Planet Fitness Inc - class A,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
PODD.US,Insulet Corp,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
PRIM.US,Primoris Services Corp,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
PSM.DE,ProSiebenSat1 Media AG,EUR,50,0,0.30%,0.50%,09:00 - 17:30,Mon - Fri,Stock
QDEL.US,Quidelortho Corp,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
QS.US,Quantumscape Corp - class A,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
RARE.US,Ultragenyx Pharmaceutical Inc,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
RBLX.US,Roblox Corp - class A,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
RFIL.US,RF Industries Ltd,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
RUN.US,Sunrun Inc,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
SESG.FR,SES SA - class A,EUR,50,0,0.30%,0.50%,09:00 - 17:30,Mon - Fri,Stock
SIGA.US,SIGA Technologies Inc,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
SLI.US,Standard Lithium Ltd,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
SMPL.US,Simply Good Foods Co,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
SMR.US,Nuscale Power Corp - class A,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
SNT.US,Senstar Technologies Corp,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
SPCE.US,Virgin Galactic Holdings Inc - class A,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
SSTK.US,Shutterstock Inc,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
STLA.US,Stellantis NV CFD,USD,50.0,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
